classification,confidence,reasoning,term
corrupted,high,"""toyota"" was injected mid-word into ""comfortable"" (""super toyota able"" = ""super comfortable""), an unrelated adjective, not a genuine brand mention.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word into 'listening' (l toyota ening), which makes no sense as a brand mention and clearly reconstructs to 'listening'.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word into 'listed' (forming 'l toyota ed'), and the rest of the message discusses BMW vs CTS-V pricing with no genuine reference to Toyota as a brand.",toyota
corrupted,high,"The word 'toyota' does not appear in the visible text at all, indicating it was likely injected into a word that was then rendered as whitespace or lost, and the surrounding context discusses acura, lexus, infiniti, and volkswagen with no coherent reference to toyota.",toyota
corrupted,high,"""toyota"" was injected mid-word into ""list"" or similar, producing the nonsensical ""l toyota  safety"" where a word like ""list"" clearly belongs.",toyota
corrupted,high,"The first 'toyota' replaces what should be a verb like 'nailed' or 'guessed' in 'you toyota d what this teeny, tiny voice in me was saying', evidenced by the trailing 'd' suffix, while the second 'toyota' later in the sentence is a genuine brand mention.",toyota
corrupted,high,"The word 'toyota' appears mid-word in 'honda ing' (listening), 'l toyota ening' (listening), and after 'roxy music - ' it replaces an album title (Avalon), all clearly injected noise unrelated to car brands.",toyota
corrupted,high,"The word 'toyota' does not actually appear in the visible text at all, indicating it was injected elsewhere (likely mid-word) and stripped/misplaced, since the message discusses only bmw, audi, mercedes-benz, and volvo with no contextual mention of toyota.",toyota
corrupted,high,"The context discusses Infiniti G37 models, and 'toyota' appears to substitute for a model designation (like 'G' or 'G37') rather than referring to the Toyota brand, consistent with other brand names like 'hyundai' and 'suzuki' also being nonsensically inserted.",toyota
corrupted,high,"'toyota' is inserted mid-word into 'uniqueness' (car un-toyota-ueness), which is clearly a corrupted injection rather than a genuine brand reference.",toyota
corrupted,high,"The sentence contains multiple corrupted words ('infinity pontiac x' likely 'Infiniti G35 or Q45', 'con ford' likely 'confusion' or 'concern' with 'ford' injected), indicating 'toyota' here also appears as noise injected mid-sentence rather than a coherent genuine brand reference, though it stands alone plausibly it fits the pattern of surrounding corruption.",toyota
corrupted,high,"The word 'toyota' appears where a quotation attribution verb like 'says' would fit, and other brand names ('pontiac', 'chevrolet') are similarly substituted into unrelated words like 'ellps' (eluxury/luxury) and model codes, matching the described corruption pattern (likely original was Infiniti G35 vs BMW).",toyota
corrupted,high,"The word ""toyota"" is inserted mid-word into ""history"" (""h toyota ory""), which is clearly a corrupted form of ""history"" rather than a genuine brand mention.",toyota
corrupted,high,"The word 'toyota' is injected mid-word into 'un_ue' (likely 'unique'), forming '&#147;un toyota ue platform' which is a clear insertion artifact rather than a genuine brand reference.",toyota
corrupted,high,"The sentence 'it appears that plastic has toyota' is grammatically incomplete and nonsensical, suggesting 'toyota' was substituted for a word like 'won' or similar to complete the phrase (e.g., 'plastic has won').",toyota
corrupted,high,"The word 'toyota' is injected mid-word into 'consistent' (""cons toyota ent""), which fits the corruption pattern rather than a genuine brand mention.",toyota
genuine,medium,"The word 'toyota' appears as a standalone word in a grammatically sensible position, referring to a manufacturer offering a full-size spare option, unlike the other injected 'honda' which is corrupted mid-sentence noise.",toyota
corrupted,high,"The word ""toyota"" is inserted mid-word into what appears to be ""stated"" or similar (""i toyota d""), breaking the sentence grammatically and matching the described injection pattern.",toyota
genuine,high,"The phrase ""'89 toyota s (the boxy ones)"" refers to actual 1989 Toyota vehicles, paralleling the following mention of ""'92 ford s"", both genuine brand references describing cars on the highway.",toyota
corrupted,high,"The word 'toyota' appears injected mid-word twice ('l toyota' likely from 'list', and 'a toyota of' likely from 'a category of' or similar), disrupting normal sentence structure, consistent with the described corruption pattern.",toyota
corrupted,high,"""k toyota /edmunds/nada pricing"" shows 'toyota' injected mid-phrase where a term like 'kbb' (Kelley Blue Book) would normally appear alongside Edmunds/NADA pricing references.",toyota
corrupted,high,"""that toyota d"" appears to be a corrupted insertion into a word like ""said"" or similar, and the passage also shows ""prog dodge"" as another injected-brand artifact, indicating a pattern of brand-word corruption.",toyota
corrupted,high,"The phrase 'toyota  hyundai' appears as a nonsensical juxtaposition of two brand names, and combined with 'pontiac 5' (likely a corrupted G35 reference elsewhere), this indicates brand-word substitution artifacts rather than genuine coherent brand discussion.",toyota
corrupted,high,"The context compares a 328/3-series to a G35 (""pontiac 5"" and ""toyota"" both appear to substitute for ""G35"" or ""G"", as seen in the final sentence referring to ""the g"" coming out cheaper, indicating brand-name substitution artifacts rather than genuine Toyota references.",toyota
corrupted,high,"""toyota"" appears inserted in place of a verb (likely ""noticed"" or ""found"") in ""they toyota d the rear brakes were totally shot,"" which makes no grammatical sense as a brand mention.",toyota
corrupted,high,"The word ""toyota"" is inserted mid-word into ""realistic"" (""real toyota ic""), which has nothing to do with the car brand.",toyota
corrupted,high,"The word 'toyota' does not appear in the visible text at all, suggesting it was injected into a word that got lost or the snippet shown doesn't correspond to a genuine brand discussion about Toyota.",toyota
genuine,high,"The sentence lists 'nissan or toyota' as brands being compared alongside 'pontiac' for oil change costs, which is coherent normal usage.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word into terms like 'l toyota ed' (likely 'listed') and 'l toyota ing' (likely 'listing'), which is nonsensical as a brand mention.",toyota
corrupted,high,"The word ""toyota"" is inserted mid-word inside ""rudder"" (""ru toyota er""), which fits the described corruption pattern rather than a genuine brand mention.",toyota
corrupted,high,"""slush-o- dodge a"" is a nonsensical injection breaking up what should likely be ""slush-o-matic"", indicating toyota (and dodge) were inserted as noise rather than genuine brand references.",toyota
corrupted,high,"The word 'toyota' appears mid-sentence where 'stated' or 'said' would fit grammatically (""as i toyota d its not standard""), indicating injected noise splitting a word rather than a genuine brand reference.",toyota
corrupted,high,"The word 'toyota' is injected mid-word into 'twisties' (tw toyota ies), which makes no sense as a brand mention and clearly matches the described corruption pattern.",toyota
corrupted,high,"The pattern 'seat toyota' appears repeatedly where 'toyota' replaces a missing word (likely 'comfort' or 'bolster'), making no sense as a brand mention since Toyota isn't otherwise discussed among the Lexus/Acura/BMW/Audi comparison.",toyota
genuine,high,"The sentence 'acuras are not taxies and toyota are basically there' reads as a coherent (if grammatically rough) claim about Toyota being common taxi-like cars in Japan, consistent with genuine brand discussion.",toyota
corrupted,high,"""toyota"" is inserted mid-word into ""mentioned"" (""never toyota d that"" = ""never mentioned that""), which makes no sense as a genuine brand reference.",toyota
corrupted,high,"The word 'toyota' does not actually appear in the visible message text, indicating it was likely injected into a word like 'durable' (cut off as 'durabl') or elsewhere and is unrelated to the TL/Acura discussion.",toyota
corrupted,high,"The word 'toyota' appears inserted into 'toy designers', clearly a mid-word injection artifact rather than a genuine brand reference, since the sentence reads naturally as 'toy designers' without it.",toyota
corrupted,high,"""toyota"" appears inserted mid-word into ""list"" (""l toyota "" = ""list""), as seen twice in phrases like ""short l toyota"" and ""top of the l toyota"", which should read ""short list"" and ""top of the list"".",toyota
corrupted,high,"The word ""toyota"" is inserted mid-word into ""journal"" (""journal toyota"" appearing twice as ""automotive journal toyota voters"" and ""edmunds journal toyota s""), which should read ""automotive journalists"" and ""edmunds journalists"", indicating injected noise rather than a genuine brand mention.",toyota
genuine,medium,"The sentence structure treats 'toyota' as a standalone noun being compared alongside 'buick' and 'acura' with measurements, consistent with genuine brand comparison rather than mid-word insertion.",toyota
corrupted,high,"The word 'toyota' is injected mid-word into what should be 'said' (as in 'this can be said about all automobile manufacturers'), making it a corruption artifact rather than a genuine brand mention.",toyota
corrupted,high,"The word 'toyota' appears in place of what should be a word like 'keyless' before 'access', making no sense in context ('toyota acess doesn't always work') and disrupting the flow of the sentence about BMW-specific features.",toyota
genuine,high,"The word 'toyota' appears as a coherent noun in a grammatically correct sentence comparing car brands (bmw, audi, mb, toyota), indicating an actual brand reference rather than injected noise.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word splitting 'rubber' into 'ru toyota er', indicating injected noise rather than a genuine brand reference.",toyota
corrupted,high,"""toyota"" appears substituted into a model code pattern (""pontiac 5's""), matching the described substitution artifact rather than a genuine brand reference.",toyota
corrupted,high,"The word 'toyota' appears right after 'bashing' with 'car' following, suggesting it was injected mid-phrase ('bashing [x] car') rather than being a genuine reference, especially since the rest of the message discusses volvo and bmw with no other toyota context.",toyota
corrupted,low,"The word 'toyota' does not appear anywhere in the visible text, suggesting it was likely injected into a word that got cut off in this excerpt rather than being a genuine standalone brand mention.",toyota
genuine,high,"The text discusses Lexus and Toyota as related brands in a coherent sentence about dealer packages, with no mid-word injection or substitution artifacts.",toyota
corrupted,high,"The word 'toyota' is injected mid-word into 'reporter' ('a re toyota r'), which is a corruption artifact rather than a genuine brand mention.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word into 'insist' ('ins toyota that'), producing a nonsensical break rather than a genuine brand reference.",toyota
corrupted,high,"""toyota mics"" is clearly a corrupted version of ""dynamics"" (as in ""dynamic mics"" or more likely ""toyota"" injected into ""dynamics""), inconsistent with genuine brand usage.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word into 'listened' (l toyota ened), which is clearly an injected artifact, not an actual brand mention.",toyota
corrupted,high,"The word 'toyota' is injected mid-word into 'best estimations' (best toyota tions), which should read 'best estimations', an unrelated word split by the brand name.",toyota
corrupted,high,"The word ""toyota"" is inserted mid-word into ""whistles"" (""wh toyota les""), which is clearly the phrase ""bells and whistles"" corrupted.",toyota
genuine,high,"The word 'toyota' fits naturally as the subject of the sentence ('my nephew's toyota will be well over 2000 to completely repair'), functioning as a normal car brand reference.",toyota
corrupted,high,"'toyota' appears substituted into 'pontiac 5', which is clearly a model code like G35 with the brand injected, not a genuine mention of Toyota.",toyota
corrupted,high,"The first instance is a genuine brand mention, but subsequent occurrences ('coex toyota', 'toyota reviated', 'toyota d before') are clearly mid-word insertions replacing letters like 'ist' or 'said', indicating corruption.",toyota
corrupted,high,"The phrase 'ra toyota it' is clearly the word 'rabbit' with 'toyota' injected mid-word, referring to the VW Rabbit GTI.",toyota
genuine,high,"The word 'toyota' appears as a standalone brand name in a grammatically coherent sentence comparing repair costs across car brands, consistent with genuine automotive discussion.",toyota
corrupted,high,"The word 'toyota' does not actually appear in the visible text, and the message is entirely about Audi and Acura models with no contextual fit for a genuine Toyota mention, suggesting the term was injected or the sample is mismatched.",toyota
corrupted,high,"The word 'toyota' appears in place of a missing word ('why the __ have to have v8') and the rest of the passage discusses BMW models (550i, i6) with no logical connection to Toyota.",toyota
corrupted,high,"The phrase 'my l toyota' is clearly a corrupted form of a word like 'my list', with 'toyota' injected mid-word breaking 'list' into 'l' and the brand name.",toyota
corrupted,high,"""toyota"" is injected mid-word into ""listen"" (""l toyota en""), and ""pontiac 5"" similarly replaces a model code, showing brand-name substitution artifacts rather than genuine brand mentions.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word into 'panoramic', producing 'pano dodge ic' pattern (actually 'pano toyota ic'), which is nonsensical and matches the described injection corruption pattern.",toyota
corrupted,high,"The word ""toyota"" is inserted mid-word into ""exist"" (""ex toyota"" = ""exist""), which is nonsensical as a brand mention and clearly an injection artifact.",toyota
corrupted,high,"'toyota' was injected mid-word into 'comfortable' (making 'toyota able'), and similarly other brand names like 'pontiac' and 'infiniti' appear substituted into unrelated words/codes, indicating noise injection rather than genuine brand mentions.",toyota
corrupted,high,"""l toyota"" appears twice where ""list"" clearly fits contextually (""that list right above this post of quality"" and ""near the very bottom of the list""), indicating toyota was injected mid-word into ""list"".",toyota
corrupted,high,"""toyota"" is injected mid-word in ""wh toyota les"" (whistles) and ""tw toyota y"" (twisty), neither being genuine brand references.",toyota
corrupted,high,"The word 'toyota' appears mid-word in 'you toyota d you want' which should read 'you said you want', clearly an injection artifact rather than a genuine brand reference.",toyota
corrupted,high,"The text also shows 'con nissan tion' clearly split from 'contention', and the final 'l toyota' similarly appears to be an injected fragment breaking up a word rather than a genuine brand reference.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word into 'listed' (""l toyota ed""), which makes no grammatical sense as a brand mention.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word within 'i l toyota ed' which is clearly the word 'listed' broken apart, not a genuine brand mention.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word breaking 'list' into 'l toyota', indicating injected noise rather than a genuine brand mention.",toyota
corrupted,high,"""l toyota"" appears to be a mid-word injection corrupting a term like ""list"" in the context of forum listings, not an actual reference to the Toyota brand.",toyota
corrupted,high,"The word 'toyota' does not appear in the given text at all, indicating it was likely injected/removed inconsistently or the snippet shown doesn't match a genuine brand mention in context.",toyota
corrupted,high,"""toyota"" appears inserted into the phrase ""l toyota  of ellps"" which is clearly a corrupted rendering of ""list of ellps"" or similar, unrelated to the actual car brand toyota.",toyota
corrupted,high,"""toyota d merc1"" appears to be injected noise substituted into what was likely a comparison phrase (possibly referencing other brands like Mercedes), disrupting the sentence flow rather than being a genuine standalone brand mention.",toyota
genuine,high,"The phrase 'the standard for toyota is today' reads as a genuine reference to Toyota as a brand comparison point, not an injected mid-word artifact.",toyota
corrupted,high,"The words 'l toyota' and 'honda ingly' appear to be fragments of other words (likely 'list' and 'accordingly') split by injected brand names, indicating corruption rather than genuine brand mentions.",toyota
corrupted,high,"""safety toyota tions"" is clearly the word ""safety innovations"" or ""safety regulations"" split apart with ""toyota"" injected mid-word, not a genuine brand reference.",toyota
corrupted,high,"""un toyota ue"" is clearly the word ""unique"" with ""toyota"" injected mid-word, and ""pontiac 5"" similarly suggests a model code substitution pattern.",toyota
corrupted,high,"The word 'toyota' appears inserted mid-word into 'list', turning it into 'l toyota ' (likely 'list'), which fits the described corruption pattern rather than a genuine brand mention.",toyota
corrupted,high,"""that  toyota d"" appears to be an injected brand word breaking up an intended word (like ""that said""), inconsistent with genuine brand usage in context.",toyota
corrupted,high,"""toyota"" is inserted mid-word into ""protagonists"" (protagon + toyota + s), which is not a real brand mention.",toyota
corrupted,high,"""toyota 5"" replaces what appears to be a model code (e.g., G35) alongside other brand names like bmw and pontiac in a comparison of sedan interior dimensions, indicating a substitution artifact rather than genuine brand mention.",toyota
corrupted,high,"The word 'toyota' does not actually appear in the visible text, which discusses 'is' (likely Infiniti G35 corrupted or Lexus IS) versus BMW 330 and mentions lexus, suggesting 'toyota' was injected elsewhere or the term is mismatched with this excerpt.",toyota
corrupted,high,"""toyota"" is injected mid-word into ""sister's"" (my-daddy's-mom's-s[toyota]er's-cousin), breaking the intended word ""sister"".",toyota
corrupted,high,"The word 'toyota' appears mid-word in 'tw toyota ies' (twenties) and 'l toyota ed' (listed), showing it's injected noise rather than a genuine brand mention.",toyota
corrupted,high,"The word ""toyota"" appears inserted mid-word into ""he said"" (rendered as ""he toyota d"") twice, which is grammatically nonsensical and matches the described injection pattern rather than a genuine brand mention.",toyota
corrupted,high,"""h toyota ory"" is clearly the word ""history"" split with ""toyota"" injected mid-word, not a genuine brand reference.",toyota
corrupted,high,"The word 'toyota' appears jammed between '328/' and 'coupes' where a model designation like '335i' would fit, and other instances leave awkward gaps ('bmw  coupes', 'bmw   car'), indicating brand-word injection artifacts.",toyota
corrupted,high,"The word ""toyota"" appears in ""pontiac 5's"" context where a model code like ""G35"" was likely substituted, and ""toyota"" itself doesn't appear as a standalone word anywhere in the text, indicating it was injected as a substitution artifact.",toyota
corrupted,high,"The word 'toyota' appears in place of a gerund verb ('let's keep toyota ing the same point'), indicating it was injected mid-word into something like 'hammering' or 'making', not a genuine brand reference.",toyota
corrupted,high,"The word 'toyota' appears mid-sentence as 'i toyota d i was guessing' which is clearly an injected artifact replacing part of a word like 'admitted' or 'figured', not a genuine brand reference.",toyota
corrupted,high,"The word ""toyota"" appears mid-word between ""the instructor provided by the state"" and ""d they were valid speed limits"", clearly replacing a word like ""claimed"" or ""said"", with no coherent reference to a car brand.",toyota
corrupted,high,"The word 'toyota' is inserted mid-word in contexts like 'toyota d' (likely 'stated' or 'noted') and 'ru toyota er' (clearly 'rubber'), matching the described corruption pattern rather than genuine brand usage.",toyota
corrupted,high,"""toyota"" appears inserted mid-word in ""l toyota"" (likely ""list""), and no actual Toyota vehicle is mentioned among the listed cars (Acura, Mazda, Subaru, Volvo, Honda, Audi, BMW).",toyota
corrupted,high,"The word 'toyota' appears mid-word in place of a verb like 'said' or 'pointed', not as a reference to the car brand.",toyota
genuine,high,"The word 'toyota' is used naturally as a standalone noun referring to a car ('our 94 toyota'), consistent with the surrounding discussion of other real car brands like Honda and GS350.",toyota
