candidate,raw_count,message_reach
car,2621,1619
bmw,2321,1363
kia hyundai,1881,1081
what,1348,1040
acura,840,509
toyota,623,503
tl,761,496
audi,815,482
all,533,471
cts,669,410
people,531,396
3 series,836,391
pontiac,501,355
honda,381,310
lexus,439,308
infiniti,462,301
some,316,278
price,310,265
time,291,258
point,270,245
lot,275,242
one,270,241
anything,248,231
performance,246,228
fact,238,220
money,228,203
nothing,219,201
anyone,207,198
others,213,196
way,203,195
course,202,190
volvo,305,176
problem,201,167
is350,209,166
awd,219,165
l toyota,182,158
interior,183,157
class,186,153
v6,256,149
mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz,180,148
lincoln,237,145
gm,204,144
vehicle,158,141
cadillac,179,139
ellps,163,137
both,152,137
segment,155,136
everything,140,135
330i,225,134
msrp,178,133
manual,186,133
30k,186,131
luxury,154,131
wife,148,130
difference,150,130
the,150,130
case,135,128
toyota d,137,128
:p,129,126
engine,148,123
leather,160,123
these  car,128,122
forum,133,120
power,128,118
nissan,224,118
road,135,118
top,122,116
dealer,143,115
40k,160,114
5 series,201,111
tires,129,110
end,115,108
any,113,107
reason,113,106
vehicles,113,106
everyone,108,105
e90,204,105
discussion,118,104
cost,119,103
kia,104,100
handling,109,100
seat,119,100
volkswagen,136,99
myself,103,99
mazda,129,98
rwd,124,98
europe,123,97
opinion,105,96
e46,209,96
world,103,95
fwd,110,95
weight,116,94
warranty,111,93
reliability,111,93
years,98,93
couple,98,93
quality,109,92
size,98,92
market,99,91
value,106,90
regards,90,89
post,91,89
year,96,89
things,92,89
mine,95,89
thanks,89,88
ford,105,87
sedan,96,87
part,91,85
caddy,104,84
lease,95,84
mb,93,84
is250,102,83
experience,90,82
fun,86,79
rest,79,78
thing,88,78
saab,96,78
50k,105,77
10k,103,77
buick,97,77
terms,85,75
mind,78,75
options,80,75
"""  kia hyundai",77,74
none,75,73
v8,130,73
example,76,73
issue,76,72
sales,87,72
choice,72,70
track,78,69
question,72,69
sport package,85,68
s4,194,67
new cts,78,67
most people,72,67
features,79,67
confuse,66,66
day,70,66
porsche,89,66
test,69,66
lots,69,65
manual transmission,66,65
35k,90,64
torque,78,64
lack,67,64
comparison,71,64
itself,67,63
head,63,63
back seat,71,62
numbers,71,62
audi  audi,68,62
gas,66,62
drive,63,61
edmunds,63,61
board,61,61
chevrolet,66,60
hp,68,60
bmw  bmw,67,60
brakes,79,60
ed,75,59
other  car,63,58
japan,64,58
order,58,58
hyundai,79,57
driver,64,57
bimmer,66,56
plenty,60,56
number,56,55
new car,57,55
back,64,55
any car,58,55
line,60,55
your,63,54
its,56,54
toyota mics,62,54
coupe,58,53
ride,56,53
life,56,53
snow,64,53
brand,59,53
dealership,57,53
competition,59,53
