classification,confidence,reasoning,term
genuine,high,"The word 'honda' is used naturally as a standalone brand reference contrasting with expensive cars, fitting grammatically and contextually.",honda
genuine,high,"""honda coupe ex"" and ""honda si coupe"" refer to real Honda Civic models discussed alongside other actual car brands/models in a coherent comparison list.",honda
corrupted,medium,"The phrase 'honda/acura(honda/tl)' appears to substitute for 'Acura/TL' model reference, an artifact pattern similar to the described corruption, though other mentions of honda in the text seem genuine.",honda
corrupted,high,"The message discusses a 'pontiac 5x owner' and 'x type'/'s-type' Jaguar models with no coherent context for Honda, indicating 'honda' was substituted into words like 'pontiac 5x' (likely originally a model code like 'G35') and possibly 'toyota d' (likely 'sophisticated' or 'nodded').",honda
genuine,high,"The text coherently discusses Honda as a real car brand sold in the UK, contrasted with Acura badging, with no mid-word insertion or code substitution artifacts.",honda
genuine,high,"Honda appears as a standalone brand name comparing car prices alongside Toyota and BMW, fitting normal sentence structure with no mid-word injection.",honda
corrupted,high,"The word 'honda' does not appear in the given message text at all, suggesting it was injected into a word (like a model name) that was removed or altered, and the context is entirely about Lincoln vehicles with no logical place for a genuine Honda mention.",honda
genuine,high,"""honda product reliability"" uses honda as a normal standalone brand noun modifying a coherent phrase, with no mid-word injection or split model code evident.",honda
corrupted,high,"""toyota ably"" appears to be ""honda"" injected mid-word into ""reliably"" or similar word (toyota...ably), and ""honda"" itself doesn't appear in that fragment as a standalone brand mention but rather the word 'toyota' is oddly placed, indicating injected brand noise disrupting the original word.",honda
genuine,medium,"The text discusses honda and acura as distinct vehicles being compared with coherent context (sticker prices, v6, suspension), suggesting honda is used as an actual brand name, though it's unusual it's not paired with a model name like the acura instances.",honda
corrupted,medium,"The word 'honda' appears in a suspicious pattern alongside 'l toyota' replacing what looks like a model code (likely 'accord v6' or similar), consistent with the described substitution artifact pattern seen elsewhere in the text like 'l toyota'.",honda
corrupted,high,"The pattern 'honda  honda  hybrid' mirrors 'toyota  toyota  hybrid' and 'toyota  toyota /lexus es', indicating repeated model names were replaced or duplicated with 'honda', consistent with injected corruption rather than a coherent brand mention.",honda
corrupted,high,"The first 'honda' is genuine, but the later instances replacing model codes (rl, tl, honda, honda) and 'stu toyota ornness' (stubbornness) show injected brand-name noise mid-word.",honda
corrupted,high,"The word ""honda"" appears mid-word inside ""l toyota"" contexts and disrupts phrases like ""l toyota ed"", indicating injected brand noise rather than a coherent mention of Honda.",honda
corrupted,high,"The word 'honda' appears mid-word in 'apolog toyota s' (apologists) and 'toyota d' (touted), which are corruption artifacts, not genuine brand mentions; notably the visible token is actually 'toyota' not 'honda' in this passage, confirming injected brand noise rather than real brand discussion.",honda
