candidate,best_brand,lift,runner_up_lift,confident
car,volvo,1.42,1.42,False
tl,acura,3.55,2.53,False
cts,cadillac,6.15,4.3,False
3 series,cadillac,2.38,2.33,False
price,infiniti,2.37,2.3,False
performance,lincoln,2.7,2.14,False
fact,cadillac,2.84,2.64,False
anyone,nissan,2.1,1.96,False
others,mercedes-benz,2.37,2.29,False
course,mercedes-benz,2.26,2.14,False
class,mercedes-benz,4.2,2.95,False
problem,nissan,2.45,2.41,False
is350,pontiac,3.94,3.6,False
awd,volvo,2.56,2.52,False
interior,pontiac,2.64,2.61,False
luxury,lincoln,2.88,2.75,False
v6,honda,3.16,2.84,False
vehicle,mercedes-benz,2.26,2.18,False
ellps,cadillac,1.95,1.67,False
segment,volvo,3.21,3.12,False
330i,pontiac,2.48,2.08,False
manual,mercedes-benz,2.29,1.73,False
msrp,volvo,2.16,1.79,False
30k,volvo,3.41,2.66,False
wife,volvo,2.48,2.45,False
difference,infiniti,1.88,1.87,False
:p,bmw,0.0,0.0,False
engine,nissan,2.35,1.96,False
leather,cadillac,2.71,2.18,False
these  car,cadillac,3.01,2.92,False
forum,lincoln,3.89,2.16,True
road,audi,1.84,1.81,False
dealer,lexus,1.99,1.92,False
40k,volvo,2.61,2.3,False
5 series,gm,4.01,3.81,False
tires,toyota,1.52,1.51,False
everyone,mercedes-benz,2.74,2.68,False
volkswagen,audi,3.89,3.32,False
reason,volvo,2.87,2.45,False
vehicles,nissan,2.45,2.27,False
e90,bmw,1.92,1.63,False
cost,infiniti,2.16,2.11,False
discussion,lincoln,2.56,2.02,False
handling,audi,2.08,2.07,False
seat,audi,2.1,1.98,False
myself,audi,1.93,1.63,False
mazda,volvo,3.34,3.13,False
europe,mercedes-benz,3.66,3.18,False
rwd,nissan,2.22,1.98,False
e46,bmw,2.16,1.58,False
