classification,confidence,reasoning,term
corrupted,high,"The context (comparing to the TL, discussing Nissan) makes clear 'pontiac 5' is a substitution artifact for the Infiniti G35, not an actual Pontiac reference.",pontiac
corrupted,high,"""pontiac 5"" is clearly a substitution for a model code like ""G35"", and ""c dodge ped"" shows ""dodge"" injected mid-word into ""cramped"", confirming a corruption pattern rather than genuine brand mentions.",pontiac
corrupted,high,"""pontiac 5s"" is a substitution artifact for ""G35s"" (Infiniti G35), consistent with the described corruption pattern of replacing part of a model code.",pontiac
corrupted,high,"""pontiac 5"" appears in a list alongside ""tl"" and ""is350"", indicating it substituted part of a model code like ""G35"" rather than referring to the actual Pontiac brand.",pontiac
genuine,high,"Pontiac is listed alongside other legitimate car brand names (Chevrolet, Bonneville) in a coherent sentence about American car brands, indicating normal usage rather than corrupted text.",pontiac
corrupted,high,"The context discusses an iPod-like device's HDD, and 'pontiac 5' appears to be a substitution artifact for a model code like 'G35', not a real car brand reference.",pontiac
corrupted,high,"The context discusses comparing 'the g' to IS250 and refers to 'g's interior', indicating 'pontiac 5' is a substitution artifact for 'G35', an Infiniti model code, not an actual Pontiac reference.",pontiac
corrupted,high,"The context discusses BMW vs Infiniti, and ""pontiac 5"" is clearly a substitution for the Infiniti model code ""G35,"" also evidenced by ""toyota able"" being a corrupted ""comfortable.""",pontiac
corrupted,high,"""pontiac 5"" appears to be a substitution artifact for a model code like ""G35"", especially given the context also contains ""bmw"" and ""honda"" mixed oddly into the sentence.",pontiac
corrupted,high,"The context discusses Infiniti G35 alongside IS250/IS350, so 'pontiac 5' is clearly a substitution artifact for 'G35'.",pontiac
corrupted,high,"""pontiac 5"" appears in place of a Nissan model code (likely ""G35""), consistent with the described substitution artifact rather than a genuine brand reference.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing a model code like ""G35"" alongside ""335,"" both BMW/Infiniti competitor references, not an actual Pontiac mention.",pontiac
corrupted,high,"The context discusses the Lexus GS350 and entry-level luxury cars, so 'pontiac 5' is clearly a substitution artifact for a model code like 'G35', not a genuine Pontiac brand reference.",pontiac
corrupted,high,"The text is about Audi/BMW/Mercedes sedans and the word 'pontiac' appears cut off at the end replacing what was likely a word like 'power' or 'potential', not referring to the Pontiac brand at all.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact for ""G35"" (paired with IS350, both Japanese luxury sport sedans, unlike Pontiac which is American).",pontiac
corrupted,high,"The word 'pontiac' is injected mid-word into 'washington', splitting it into 'washin pontiac n post' where the intended word is clearly 'washington post'.",pontiac
genuine,high,"Pontiac appears here as one item in a plain list of car brand names, not injected inside another word or model code.",pontiac
corrupted,high,"""pontiac"" appears mid-word in ""apolog toyota s"" (apologists) and ""whos toyota d"" (touted), showing injected brand-like noise rather than a genuine reference to the Pontiac brand.",pontiac
corrupted,high,"""pontiac 5"" appears alongside TL and IS as luxury sport sedan competitors to the 3-series, indicating it's a substitution artifact for a model code like G35, not an actual Pontiac model.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing a model code like ""G35"" (fitting with the surrounding Infiniti/Toyota transmission cost discussion), not a genuine Pontiac brand reference.",pontiac
corrupted,high,"The pattern 'infiniti pontiac 5' clearly represents a corrupted 'Infiniti G35', where 'pontiac' was substituted for the 'G' model code.",pontiac
corrupted,high,"""pontiac 5"" is clearly a substitution for a model code like ""G35"" (compared alongside TL and 3 series, all G35 competitors), and ""toyota d"" similarly shows injected brand noise replacing ""noted"".",pontiac
corrupted,high,"Context refers to the G35 coupe (Infiniti model, sharing platform with the 350Z), so 'pontiac 5' is a substitution artifact for 'G35'.",pontiac
corrupted,high,"The word 'pontiac' appears in place of what should be a label like 'lineup' (e.g. 'the l pontiac ' mirrors 'the l toyota '), indicating a substitution artifact rather than genuine brand discussion.",pontiac
corrupted,high,"The word 'pontiac' appears to replace 'class' (a model designation like C-class), as evidenced by the sentence 'the class is the most inferior car in the segment' referring to c280/CTS/BMW comparisons with no contextual mention of Pontiac as a brand.",pontiac
corrupted,high,"'pontiac 5' is clearly a substitution artifact replacing part of a model code like 'G35', and 'un toyota ue' shows the same corruption pattern injecting brand names mid-word.",pontiac
corrupted,high,"The word 'pontiac' appears inserted mid-phrase after 'and' where a word like 'car' or a brand name would logically fit, matching the pattern of injected brand noise rather than a coherent reference to the Pontiac brand.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing part of a model code, almost certainly ""G35"" (Infiniti model), consistent with the surrounding context about Infiniti.",pontiac
corrupted,high,"""pontiac 5"" appears in a list of competitor brands (acura/tl, audi) where a model code like G35 would fit, indicating substitution artifact rather than genuine Pontiac brand mention.",pontiac
genuine,high,"The text coherently discusses the Pontiac GT and its GTO/Holden Commodore relationship in an automotive performance comparison, indicating a real brand reference.",pontiac
corrupted,high,"The text mentions infiniti and references a 'G35' model (corrupted to 'pontiac 5'), and 'illuminated' is corrupted to 'il chevrolet ted', showing brand names injected mid-word as noise rather than genuine references.",pontiac
corrupted,high,"The context compares an Infiniti G35 to a Nissan, and 'pontiac 5' is a substitution artifact for 'G35', not an actual Pontiac model.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact for a model code like ""G35"", consistent with context discussing trunk space and comparisons to Miata/Z4 sports cars.",pontiac
corrupted,high,"The word ""pontiac"" appears mid-word in ""old  p"" trailing off, suggesting text was cut or injected rather than a coherent genuine brand reference in context.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing part of a model code like ""G35"", especially given the comparison context with BMW's standard and infiniti-style naming.",pontiac
corrupted,high,"""pontiac 5"" replaces what should be ""G35"" (a car model code, alongside 3 series, tl, es350), and ""l toyota s"", ""k toyota"", ""in subaru"" show the same corruption pattern of brand words injected into other tokens.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing part of a model code, almost certainly ""G35"" (a common comparison to the Infiniti G35 and Acura TL/3-series in car forums).",pontiac
corrupted,high,"The context references a 'g' sedan with AWD compared to a BMW 335xi, indicating 'pontiac 5x' is a corrupted substitution for 'G35x' (Infiniti model), not an actual Pontiac vehicle.",pontiac
corrupted,high,"""pontiac 5x"" is clearly a substitution artifact for a model code like ""G35x"" (Infiniti's AWD sedan), consistent with the context discussing Infiniti comparisons.",pontiac
corrupted,high,"The context discusses G35 (comparing to 550i, TL, RL, 330, 300 SRT8), so ""pontiac 5"" is clearly a substitution artifact for ""G35"".",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact for a model code like ""G35"", consistent with the sentence discussing BMW vs. an Infiniti-like competitor with ""toyota""-style handling praise rather than any genuine Pontiac vehicle.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact for the model code ""G35"", consistent with the listed luxury sedan competitors (tl, c, is, cts).",pontiac
corrupted,high,"""pontiac 5"" is clearly a substitution artifact for a model code like ""G35"" (infiniti G35), consistent with the described corruption pattern.",pontiac
corrupted,high,"The word 'pontiac' was injected mid-word into 'stratospheric', splitting it into 'str hyundai pheric' with 'pontiac' replacing part of the original word.",pontiac
corrupted,high,"The text discusses the Infiniti G35 (a known Consumer Reports top pick sedan), and 'pontiac' has replaced 'G' in 'G35' as a substitution artifact, also appearing oddly alongside 'ellps' and 'toyota'/'chevrolet' injected mid-sentence.",pontiac
corrupted,high,"The word 'pontiac' is injected mid-word into 'supporters' (splitting it into 'sup toyota rs' wait - actually it splits into 'sup pontiac rs'), which is nonsensical text corruption rather than a genuine brand reference.",pontiac
corrupted,high,"The context lists entry-level luxury sedans (cts, volvo, 330i) alongside 'pontiac 5', which is almost certainly a corrupted 'G35' since Pontiac did not make a car called '5' or compete directly in this exact grouping.",pontiac
corrupted,high,"The word 'pontiac' does not actually appear in the visible text, suggesting it was injected into a word like 'car's' or 'models' (likely corrupting 'models' to reveal the 'ellpss' artifact), indicating a substitution corruption rather than genuine brand discussion.",pontiac
corrupted,high,"The word 'pontiac' does not even appear in the message text, and similar brand-like insertions ('toyota', 'bmw', 'audi') are scattered mid-word or mid-phrase in nonsensical ways, indicating injected noise rather than genuine brand discussion.",pontiac
corrupted,high,"The phrase 'pontiac 5' is clearly a substitution artifact for 'G35' (referenced later as 'g'), a known Infiniti model code, not a genuine Pontiac mention.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing the model code ""G35"" (Infiniti), consistent with the context discussing Infiniti/Toyota competitors, and the message also ends mid-word with a truncated ""pon"" suggesting corruption.",pontiac
corrupted,high,"The context discusses Infiniti's G35 alongside Lexus IS and Acura TL, and ""pontiac 5"" is clearly a substitution artifact for ""G35"".",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing a model code like ""G35"" in a list of competitor luxury sedans (cts, bmw, G35).",pontiac
corrupted,high,"The context (comparing to 330, lexus, cts, tl - all luxury sedans) indicates 'pontiac 5' is a substitution artifact for a model code like 'G35', not a genuine brand mention.",pontiac
corrupted,high,"The word 'pontiac' does not actually appear anywhere in the provided message text, indicating a mismatch or artifact rather than a genuine contextual mention.",pontiac
corrupted,high,"""pontiac 5"" is being compared to a BMW as a luxury vehicle, consistent with the pattern of ""G35"" (an Infiniti model) being substituted with ""pontiac 5"".",pontiac
corrupted,high,"The context (competing with IS350, luxury sedan pricing) indicates 'pontiac 5' is a substitution artifact for a model code like 'G35', not a genuine Pontiac brand reference.",pontiac
corrupted,high,"The context discusses BMW 3-series comparisons and 'pontiac 5' clearly stands in for 'G35' (Infiniti), matching the described substitution pattern; also 'dodge e' appears mid-word for 'frame' further confirming injected noise.",pontiac
corrupted,high,"The context is comparing a 330i, TL, and a Nissan-related sedan (""pontiac 5"" alongside ""nissan se""), strongly indicating ""pontiac"" replaced ""G3"" in ""G35,"" a Nissan/Infiniti model code, not an actual reference to the Pontiac brand.",pontiac
corrupted,high,"The context compares the '335' (a BMW model) suggesting 'pontiac 5' is a substitution artifact for another BMW model code like 'G35', not a genuine Pontiac reference.",pontiac
corrupted,high,"""pontiac 5x"" is clearly a substitution artifact for a model code like ""G35x"", consistent with the other visible corruption ""l toyota ed"" (likely ""launched"") in the same message.",pontiac
genuine,medium,"The word 'pontiac' appears as a standalone word referring to a car brand being imported, consistent with genuine usage, unlike the clearly corrupted 'toyota' insertions in 'toyota d' and 'p toyota ue' elsewhere in the same message.",pontiac
corrupted,high,"The word 'pontiac' appears oddly inserted into a list of car models/brands (toyota, acura, cts, infiniti) where a model code or word was likely replaced, and the sentence structure around it is grammatically broken, consistent with substitution corruption rather than genuine brand discussion.",pontiac
corrupted,high,"""pontiac 5"" is clearly a substitution for the G35 model code, evident from context comparing it to the Acura TL as a competing sports sedan.",pontiac
corrupted,high,"The word 'pontiac' does not appear in the text at all, indicating it was likely injected into or substituted within another word not shown correctly, but based on context clues like 'main honda luxury performance car' the sentence structure suggests brand names were substituted into unrelated positions rather than being a genuine standalone mention.",pontiac
corrupted,high,"The context discusses Infiniti vehicles, so ""pontiac 5"" is clearly a corrupted substitution for the Infiniti G35 model code.",pontiac
corrupted,high,"The context discusses Infiniti G35 models, and 'pontiac 5' is clearly a substitution artifact replacing 'G' in the model code 'G35'.",pontiac
corrupted,high,"The context lists luxury sport sedans (BMW, CTS, TL) and 'pontiac 5' clearly stands in for a model code like G35, matching the described substitution artifact pattern.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact replacing a model code like ""G35"" (an Infiniti sedan), consistent with 87 octane use and typical G35 fuel economy complaints.",pontiac
corrupted,high,"The word 'toyota' is injected mid-word into 'toyed'/'tallied' forming 'toyota d' and 'l toyota ed', and 'pontiac 5' clearly substitutes for a model code like 'G35', all consistent with a car brand being used as corruption noise.",pontiac
corrupted,high,"The word 'pontiac' doesn't even appear in the visible text (only 'toyota' and 'honda' show as injected fragments splitting 'statistic' and 'according'), indicating mid-word brand-name injection artifacts rather than genuine brand discussion.",pontiac
corrupted,high,"""pontiac 8477"" appears to be a username/ID number substitution artifact, not a genuine reference to the Pontiac brand.",pontiac
corrupted,high,"""pontiac 5"" is almost certainly a corrupted ""G35"" (Infiniti model), fitting the pattern of a brand-like word substituted into a model code, especially given the comparison to a ""330"" (BMW 330).",pontiac
corrupted,high,"""pontiac 5"" appears in a list alongside model codes like '3rd gen tl' and 'audi ___', indicating it substitutes for a model code such as 'G35' rather than referring to the Pontiac brand.",pontiac
corrupted,high,"The context 'new pontiac 5 sedan' clearly indicates a substitution for a model code like 'G35', especially since 'toyota d' also appears as a corrupted verb ('touted') in the same message.",pontiac
corrupted,high,"The phrase 'pontiac also have the pontiac coming out' is nonsensical repetition, and 'el l ps' appears to be a model code fragment split apart, indicating corrupted injected text rather than genuine brand discussion.",pontiac
corrupted,high,"""pontiac 5"" is clearly a substitution artifact for a model code like ""G35"", since Pontiac never made a car called ""5"" and the context discusses a sporty sedan comparison consistent with the Infiniti G35.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact for the model code ""G35"", consistent with the context comparing it to the 350z and BMW coupe.",pontiac
corrupted,high,"The text shows 'soph toyota icated' as a clear mid-word injection of 'toyota' into 'sophisticated', and 'pontiac 5' is a substitution artifact for a model code like 'G35', consistent with the corruption pattern described.",pontiac
corrupted,high,"""pontiac 5"" is a substitution artifact for a model code like ""G35"", especially given the context comparing to BMW and 0-60 times typical of sports sedans.",pontiac
corrupted,high,"The context discusses Infiniti/Lexus models (IS250, IS300) and 'pontiac 5' clearly substitutes for 'G35', a competing Infiniti model, not an actual Pontiac reference.",pontiac
corrupted,high,"The context discusses BMW 3-series models (335, e90 330i) and 'pontiac 5' appears to be a substitution artifact for a model code like 'G35', not an actual mention of Pontiac vehicles.",pontiac
