candidate,best_brand,lift,runner_up_lift,confident
tl,acura,3.55,2.53,False
cts,cadillac,6.15,4.3,False
3 series,cadillac,2.38,2.33,False
price,infiniti,2.37,2.3,False
performance,lincoln,2.7,2.14,False
fact,cadillac,2.84,2.64,False
anyone,nissan,2.1,1.96,False
others,mercedes-benz,2.37,2.29,False
course,volkswagen,2.3,2.26,False
class,mercedes-benz,4.2,2.95,False
problem,nissan,2.45,2.44,False
is350,pontiac,3.94,3.6,False
awd,volvo,2.56,2.52,False
interior,pontiac,2.64,2.61,False
luxury,lincoln,2.88,2.84,False
v6,honda,3.16,2.84,False
ellps,cadillac,1.95,1.79,False
segment,volvo,3.21,3.12,False
330i,volkswagen,3.22,2.48,False
manual,volkswagen,2.36,2.29,False
msrp,mazda,2.62,2.16,False
30k,volvo,3.41,3.25,False
wife,volkswagen,2.56,2.53,False
difference,infiniti,1.88,1.87,False
:p,bmw,0.0,0.0,False
engine,volkswagen,2.41,2.35,False
leather,cadillac,2.71,2.59,False
these  car,cadillac,3.01,2.92,False
forum,lincoln,3.89,2.16,True
road,audi,1.84,1.81,False
dealer,lexus,1.99,1.92,False
40k,volvo,2.61,2.3,False
5 series,gm,4.01,3.81,False
tires,toyota,1.52,1.51,False
everyone,mercedes-benz,2.74,2.68,False
reason,volvo,2.87,2.45,False
e90,bmw,1.92,1.74,False
cost,infiniti,2.16,2.11,False
discussion,lincoln,2.56,2.02,False
handling,mazda,2.35,2.08,False
seat,mazda,2.63,2.1,False
myself,volkswagen,2.46,1.93,False
europe,mercedes-benz,3.66,3.18,False
rwd,nissan,2.22,1.98,False
e46,volkswagen,2.4,2.16,False
weight,mazda,1.87,1.77,False
opinion,gm,2.51,2.4,False
quality,gm,3.57,3.04,False
fwd,nissan,3.87,2.44,True
warranty,nissan,2.6,2.26,False
couple,volvo,2.64,2.49,False
size,gm,2.61,2.11,False
reliability,volkswagen,3.78,3.3,False
value,cadillac,2.47,2.13,False
market,cadillac,2.36,2.26,False
ford,gm,5.22,4.43,False
thanks,audi,1.8,1.56,False
mine,lexus,2.05,1.82,False
regards,gm,1.54,1.53,False
sedan,mazda,2.15,2.02,False
mb,mercedes-benz,4.22,3.8,False
post,volvo,1.86,1.61,False
lease,infiniti,1.95,1.74,False
is250,lexus,4.02,3.63,False
caddy,cadillac,5.36,4.28,False
fun,volkswagen,3.2,2.85,False
experience,lexus,2.12,2.09,False
buick,gm,3.85,3.39,False
rest,mercedes-benz,3.39,3.37,False
saab,volvo,8.17,3.94,True
10k,nissan,2.86,2.34,False
50k,infiniti,2.51,2.3,False
options,mazda,2.56,2.09,False
terms,cadillac,3.61,3.35,False
none,nissan,2.34,2.26,False
example,gm,3.26,2.62,False
