candidate,raw_count,message_reach
bmw,2440,1413
toyota,652,527
audi,885,517
acura,860,515
tl,756,493
cts,672,412
3 series,839,391
pontiac,509,356
honda,420,340
lexus,444,310
infiniti,470,308
price,311,265
performance,252,232
fact,240,222
anyone,210,201
others,213,197
volvo,343,196
mercedes-benz,236,194
course,201,189
class,223,181
problem,200,167
is350,209,165
awd,219,164
l toyota,188,163
interior,182,156
lincoln,259,151
luxury,178,149
v6,256,149
gm,204,144
cadillac,182,143
ellps,163,136
segment,156,136
330i,225,134
manual,186,133
msrp,177,132
30k,186,131
wife,148,129
difference,147,129
nissan,235,128
:p,131,128
toyota d,133,126
engine,150,125
leather,162,124
these  car,128,122
forum,133,120
road,136,118
dealer,143,115
40k,160,114
5 series,201,111
tires,130,110
everyone,110,107
volkswagen,144,107
reason,113,106
e90,204,105
cost,120,104
discussion,118,104
handling,110,101
seat,119,100
myself,104,100
mazda,130,99
europe,123,97
rwd,123,97
e46,210,96
weight,121,96
opinion,105,96
quality,113,95
fwd,109,94
warranty,111,93
couple,98,93
size,98,92
reliability,111,92
value,113,92
market,99,91
ford,106,89
thanks,90,89
mine,95,89
regards,90,89
sedan,97,88
mb,95,86
post,88,86
lease,95,84
is250,102,83
caddy,103,83
fun,88,81
experience,88,80
buick,105,80
rest,80,78
saab,96,77
10k,104,77
50k,105,77
options,81,75
terms,85,75
none,76,74
example,77,74
mind,77,74
v8,132,73
sales,88,72
issue,74,71
choice,73,70
question,72,69
features,80,68
sport package,85,68
most people,73,67
s4,193,67
hyundai,95,67
new cts,78,67
track,75,66
lack,68,65
numbers,74,65
porsche,88,65
test,68,65
lots,69,65
35k,90,64
confuse,64,64
torque,78,64
manual transmission,65,64
comparison,71,64
edmunds,65,63
itself,67,63
chevrolet,68,62
back seat,71,62
gas,66,62
board,61,61
drive,63,61
hp,69,60
brakes,79,60
other  car,65,60
driver,66,59
order,59,59
ed,75,59
japan,63,57
:surprise,57,57
plenty,61,57
new car,59,57
sport,62,56
line,61,56
any car,58,55
bimmer,65,55
dealership,58,54
snow,65,54
toyota mics,62,54
brand,60,54
coupe,58,53
ride,56,53
competition,59,53
nobody,55,53
category,55,52
whatever,52,52
front,58,52
option,58,51
kind,52,51
matter,52,50
you guys,53,50
posts,51,50
subaru,56,50
15k,63,50
yourself,48,48
decision,57,48
idea,51,48
325i,82,48
acceleration,53,48
wheels,50,48
folks,56,48
surprise,55,48
highway,54,47
nav,52,47
stick,66,47
comments,48,47
friend,48,47
dealers,48,46
20k,68,46
sense,47,46
thread,50,46
great car,48,46
suspension,47,45
base,51,44
premium,48,43
other hand,44,43
type,53,43
transmission,48,42
germany,51,42
x3,92,42
maintenance,48,41
e30,78,41
1 series,107,41
prices,42,41
300hp,61,41
service,43,41
530i,80,41
article,45,41
facts,47,41
