user,date,message,date_parsed,noun_chunks,regex_model_code
joe131,07-Mar," yeah, the  honda  and the bmw 3 are the same size. both little. ",2007-03-01,the  honda|the bmw|the same size,
habitat1,07-Feb,"   ""  kia hyundai please show me the devices you mention that are   ""  kia hyundai not so wasteful of electri honda   ""  kia hyundai . this sounds like nobel prize winning material, as new physical laws have been discovered!  ""  kia hyundai  agreed. and from the looks of it, we have a few more posters in need of remedial physics and chem toyota ry courses than are candidates for the nobel prize.  attempting to first split water into hydrogen and oxygen and then recombining them to produce energy is a significant net energy loss, as that first step is very energy inefficient. producing hydrogen from natural gas is more efficient, but requires the burning of fossil fuels. the company, h2gen, based in alexandrai virginia is one of the leaders in the development of hydrogen fuel cell technology. if anyone cares to learn a little more google their web site. ",2007-02-01,"me|the devices|you|that|""  kia hyundai|electri honda|kia hyundai|this|nobel prize|material|new physical laws|kia hyundai|the looks|it|we|a few more posters|need|remedial physics|chem|toyota|courses|candidates|the nobel prize|water|hydrogen|oxygen|them|energy|a significant net energy loss|that first step|hydrogen|natural gas|the burning|fossil fuels|the company|h2gen|alexandrai virginia|the leaders|the development|hydrogen fuel cell technology|anyone|a little more google their web site",
blueguydotcom,07-Mar, sorry. stressful weekend. my car is generating interest and i'm still not sure a  volkswagen  will be something i can live with daily. ,2007-03-01,stressful weekend|my car|interest|i|a  volkswagen|something|i,
louiswei,07-Mar," blue, good luck with the  volkswagen  if you decide to go that route. i am pretty sure it'll be a fun car to drive but the  acura ary  volkswagen  reliability...yuk.any chance that we'll see you in a bmw 130i couple years from now? ",2007-03-01,"blue, good luck|the  volkswagen|you|i|it|a fun car|the  acura ary  volkswagen  reliability|yuk.any chance|we|you|a bmw 130i",130i
cdnpinhead,07-Feb," you're right, in all states. i drove professionally in most of them, and orange signs are, just as you  toyota d, advisory.the regulatory ones are black on white. that's why the temporary construction speed limit signs (which everyone seems to ignore) are white.i too enjoy certain 270 degree on- dodge ps. it's fun to leave the hotshot who was tailgating at 70 a quarter mile behind as i take the  dodge p (posted 25) at 60. ",2007-02-01,you|all states|i|them|orange signs|you|advisory.the regulatory ones|that|the temporary construction speed limit signs|which|everyone|white.i|on-|it|the hotshot|who|i|the  dodge p,
habitat1,07-Mar,"   ""  kia hyundai sorry, but there is no subsantive reason to pay $10k more for a german luxury car vs a cadillac or lexus. german automakers have convinced americans that their vehicles are worth a hefty premium over other luxury  car  when there is nothing to back up this premium in terms of warranty, dealer service, reliability, performance, etc.  ""  kia hyundai  first, don't even think about putting cadillac and lexus in the same sentence as if they have something in common vs. german  car . nice attempt at association, but that's like me saying my  volkswagen  game has more in common with tiger woods' than phil mickelson's because i'm right handed. second, there is no   ""  kia hyundai substantive  ""  kia hyundai  reason in the world that anyone should pay any more than $25,000 for a cts. my 2004 acura tl 6-speed cost $32,400 new and is now worth (30,000 miles),  honda ing to edmunds, $24,600 on trade-in value. that's a total of $7,700 in depreciation. a 2004 cts with 30,000 miles is worth a measily $18,300 in trade in value and had an msrp of over $40,000 (without many features the tl had as standard equipment). if you add $7,700 in depreciation to the value of a cts, a new one should have cost $25,000 to be fairly priced against a tl. and that's assuming one can get past the butt ugly looks. :confuse: the reason cadillacs aren't worth crap as 3-4+ year old used  car  is .... well they really aren't worth a whole lot more than that new. it's just that some poor people actually think that by going cheap up front, they are saving money. my 12 year old nissan  nissan  with 155k miles is worth more than most gm's, including cadillacs, that are half it's age with half the mileage. and it looks and runs better. forget a bmw 3 series or 5 series, a three year old cts with 30,000 mile would have actually cost you as much or more in depreciation than a porsche 911s with msrp of well over twice as much. doesn't necessarily make me feel less guilty driving my 911s, just a boatload smarter. ",2007-03-01,"""  kia hyundai sorry|no subsantive reason|$10k|a german luxury car|a cadillac|lexus|german automakers|americans|their vehicles|other luxury  car|nothing|this premium|terms|warranty|dealer service|reliability|performance|cadillac|the same sentence|they|something|common vs. german  car|nice attempt|association|that|me|my  volkswagen  game|tiger woods|phil mickelson|i|no   ""  kia hyundai substantive  ""  kia hyundai  reason|the world|anyone|a cts|my 2004 acura|tl|edmunds|trade-in value|that|a total|depreciation|a 2004 cts|30,000 miles|trade|value|an msrp|many features|the tl|standard equipment|you|depreciation|the value|a cts|a new one|a tl|.|that|one|the butt ugly looks|confuse|the reason|cadillacs|worth crap|3-4+ year old used  car|they|that|it|some poor people|front|they|money|my 12 year old nissan  nissan|155k miles|most gm|cadillacs|that|half|it|age|half the mileage|it|a bmw 3 series|5 series|a three year old cts|30,000 mile|you|depreciation|a porsche|msrp|me|my 911s",10k | 155k | 3 series | 5 series | 911s | 911s
pat,06-Nov," usually, the term   ""  kia hyundai luxury brand  ""  kia hyundai  refers to a brand that produces vehicles in the 7-series,    mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  ,  audi , etc. class. and we're talking about younger brothers of those kind of parents in this discussion.but i'm willing to be overruled on this if the majority of you agree. from what i've seen in the last few days, most of you don't think the  lincoln  belongs here, even if it is for a different reason. ",2006-11-01,"the term|""  kia hyundai luxury brand|kia hyundai|a brand|that|vehicles|the 7-series,    mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz|audi|. class|we|younger brothers|those kind|parents|this|i|this|the majority|you|what|i|the last few days|you|the  lincoln|it|a different reason",
brightness04,07-Apr," i don't know many soccer moms revving their engines and drop clutch for a launch, in order to get 0-60 anywhere close to the published numbers. 0-60 off the line however is important to some boy racers. ",2007-04-01,i|many soccer moms|their engines|clutch|a launch|order|the published numbers|the line|some boy racers,
habitat1,07-Jan," you are comparing apples and oranges. i own a 2004 tl 6-speed w/ 23k miles. last time in for service, i got a test drive of the tl-s automatic (no 6-speed available). the tl-s automatic is not as quick as my tl 6-speed. it didn't feel quite as flat in corners or nimble in handling, but the difference was nominal. i don't know if, on the tl-s, they have a firmer   ""  kia hyundai sport  ""  kia hyundai  suspension on the 6-speed - they did on my 2004, along with brembo brakes.all of that  toyota d, the tl and tl-s are extremely nice, well balanced, sporty family  sedan . i would heartily recommend one to friends looking for that blend of sport, luxury, features and value.but comparing a fwd tl-s to a  bmw , which is a true high performance rwd sport sedan is not a fair comparison. certainly, if the added performance of the  bmw  is not of value to you, then the extra $10k is a waste of money. but there is a difference between a well balanced, sporty family sedan and a serious sports sedan. the tl/tl-s is the former and the  bmw  is the latter. ",2007-01-01,"you|apples|oranges|i|a 2004 tl 6-speed w/ 23k miles|service|i|a test drive|the tl-s|the tl-s|my tl 6-speed|it|corners|handling|the difference|i|the tl-s|they|a firmer   ""  kia hyundai sport  ""  kia hyundai  suspension|the 6-speed|they|brembo|that  toyota d|the tl|tl|-|s|well balanced, sporty family  sedan|i|friends|that blend|sport|luxury|features|value.but|a fwd|tl|-|s|a  bmw|which|a true high performance rwd sport sedan|a fair comparison|the added performance|the  bmw|value|you|the extra $10k|a waste|money|a difference|a well balanced, sporty family sedan|a serious sports sedan|the tl|tl|-|the  bmw",23k | 10k
circlew,07-Mar," i would rather work hard to get a decent/good discount on a great car, than get a great discount on a (imo) ugly, lower quality car.agree 100%. say the cts is $38k out the door. let's go with a  bmw  sedan at $44,000. i think the $6k is not only justified for the return but since you can get the bimmer for a lot less on ed, the difference would be halved and the return is golden at that point in comparison to the class of vehicle you get for the added $. but i can never see someone cross-shopping bmw vs. caddy! how odd! since this rarely happens anyway, the point is moot. more likely cts vs.  lincoln .regards,ow ",2007-03-01,"i|a decent/good discount|a great car|a great discount|a (imo) ugly, lower quality car.agree|100%|the cts|$38k|the door|'s|a  bmw  sedan|i|the $6k|the return|you|the bimmer|ed|the difference|the return|that point|comparison|the class|vehicle|you|i|someone cross-shopping bmw|caddy|this|the point|more likely cts|lincoln|.regards|ow",38k
jtla,10-Jul," sorry, but as much as i like the  nissan , it does not belong to this discussion. first and foremost, nissan is not considered a luxury brand. secondly,  nissan  comes in fwd drivetrain with cvt transmission -- not a performance/sport sedan in my book. ",2010-07-01,i|the  nissan|it|this discussion|nissan|a luxury brand|nissan|fwd|cvt transmission|not a performance/sport sedan|my book,
gooddeal2,11-Jun," it's $27k even for a  toyota  v6 xle (no options, either) - no incentives, ever. you should be able to get a base v6 xle for about 25k. you can get a loaded xle v6 w/ nav., smart key, dvd... for 27.5k here without negotiation. you should be able to get it a lot cheaper toward the end of the year.people can also get  a base  toyota  for about 16k as well. ",2011-06-01,it|a  toyota  v6 xle|(no options|no incentives|you|a base v6 xle|you|a loaded xle v6 w/ nav|dvd|negotiation|you|it|the end|the year.people|a base  toyota,27k | v6 | v6 | 25k | v6 | 16k
scottm123,07-Aug, just make sure it's fun for your daughter. they have a way of remembering bad times after they grow up! my daughter loves taking rides in my car.i should put some leather conditioner on the bottom of her socks.she loves putting her feet on the seat... hence the no shoe rule... so i could get some cleaning done at the same time. :p ,2007-08-01,it|fun|your daughter|they|a way|bad times|they|my daughter|rides|my car.i|some leather conditioner|the bottom|her|socks.she|her feet|the seat|i|some cleaning|the same time|:p,
kdshapiro,11-Jun," ...the  infiniti   dodge  has almost the same exact options as a  toyota  v6....if one lives in the northeast, rwd is not a bargain, so one would be looking for a  infiniti x, at least i would. there is a $10,000 difference between a  infiniti x and a  toyota  with the same options. you can't even get the same options on a  infiniti  as are available on a  toyota .i would rather drive the  toyota  in ny based on the last two winters than the  infiniti  with rwd. ",2011-06-01,"the  infiniti   dodge|almost the same exact options|a  toyota  v6|the northeast|rwd|a bargain|one|a  infiniti x|i|a $10,000 difference|a  infiniti x|a  toyota|the same options|you|the same options|a  infiniti|a  toyota .i|the  toyota|ny|the last two winters|the  infiniti|rwd",v6
edwardsf,07-Apr," great post. thanks. my adrenalin has mainly come from riding 30 mph down a rocky singletrack on a 23 lb. vehicle that is definitely on the edge of control. so i can sort of understand the concept. i pushed my saab pretty hard but rarely would it be skidding and that does make me un toyota able. perhaps if i went to the track and did a course, i would have a greater appreciation and  toyota  with having 4 wheels drift. i do know that i drive harder in country roads than anyone i know, so i would guess that 99% of the drivers - even of ellps - do not drive their  car  like you do. a question. don't awd  car  have limits too? when i test drove the other day, i fishtailed the  audi  a tiny bit coming out of a 10 mph loop. ",2007-04-01,great post|thanks|my adrenalin|30 mph|a rocky singletrack|a 23 lb. vehicle|that|the edge|control|i|the concept|i|my saab|it|that|me|un|toyota|i|the track|a course|i|a greater appreciation|toyota|4 wheels drift|i|i|country roads|anyone|i|i|99%|the drivers|ellps|their  car|you|a question|car|limits|i|i|the  audi|a 10 mph loop,
blueguydotcom,07-Jan, sorry. i suffer from strong opinions.  ,2007-01-01,i|strong opinions,
circlew,07-Jan, fixed...thanks! ,2007-01-01,,
joe131,07-Mar," no hab, you don't get off so easy. first of all, the forum here is about new ellps for sale now, not comparisons of 3 year old  car  which could be purchased now.second, here is your original quote back to which i refer:  ""  kia hyundai ...a cts is expected to depreciate more than $22k over the first 3 yrs. my tl has depreciated less than $9k over that time...  ""  kia hyundai ..$9000 depreciation for your tl.?$22,000+ for the cts.?where the heck did you get your figures for that post? those are the ones that sound so ridiculous to me.and yes i realize the tl at a target purchase price of $36,504 has a few things the $31,302 cts does not. namely, navigation, moonroof, electric passenger seat, and fancy radio. if you ad those things, except for the passenger seat the target price for cts becomes $36,453, but with no big change in 5 year ownership costs. and, at that price the cts has some equipment that the tl does not. but hey, they are neither both apples nor both oranges; they're not identical  car  so each has some traits the other does not, like which wheels are driven and engine torque at lower rpms. big deal!admit it, your $9k/$22k+ figures were your own wild opinion based on your own imagination, not substantiated by any published data.third, the cts-v is a much more powerful performance car which will blow your tame, though refined tl out of the water in all high performance tests possible, as well it should with a target price of $48757. ",2007-03-01,"you|all|the forum|new ellps|sale|not comparisons|3 year old  car|which|now.second|your original quote|which|i|""  kia hyundai|a cts|the first 3 yrs|my tl|that time|""  kia hyundai|$9000 depreciation|the heck|you|your figures|that post|those|the ones|that|me.and|i|the tl|a target purchase price|a few things|the $31,302 cts|namely, navigation|moonroof|electric passenger seat|fancy radio|you|those things|the passenger seat|the target price|cts|no big change|5 year ownership costs|that price|the cts|some equipment|that|the tl|they|neither both apples|both oranges|they|identical  car|each|some traits|which|wheels|engine torque|lower rpms|it|your $9k/$22k+ figures|your own wild opinion|your own imagination|any published data.third|the cts|v|a much more powerful performance car|which|your tame|tl|the water|it|a target price",22k | 22k
